scenario,site,window,layer,threshold,feasible,area_fraction,selected_patches,obj_value
pure_reference,DBO1,1993_1997,pure,0.05,True,0.03256621797655232,75.0,75.0
pure_reference,DBO1,1993_1997,pure,0.1,True,0.06990881458966565,161.0,161.0
pure_reference,DBO1,1993_1997,pure,0.15,True,0.10985670864090318,253.0,253.0
pure_reference,DBO1,1993_1997,pure,0.2,True,0.15240990013026487,351.0,351.0
pure_reference,DBO1,1993_1997,pure,0.25,True,0.19756838905775076,455.0,455.0
pure_reference,DBO1,1993_1997,pure,0.3,True,0.24402952670429873,562.0,562.0
pure_reference,DBO1,1993_1997,pure,0.35,True,0.29222752930959617,673.0,673.0
pure_reference,DBO1,1993_1997,pure,0.4,True,0.34129396439426835,786.0,786.0
pure_reference,DBO1,1993_1997,pure,0.45,True,0.39122883195831526,901.0,901.0
pure_reference,DBO1,1993_1997,pure,0.5,True,0.4411636995223621,1016.0,1016.0
pure_reference,DBO1,1993_1997,pure,0.55,True,0.49109856708640903,1131.0,1131.0
pure_reference,DBO1,1993_1997,pure,0.6,True,0.5414676508901433,1247.0,1247.0
pure_reference,DBO1,1993_1997,pure,0.65,True,0.5914025184541902,1362.0,1362.0
pure_reference,DBO1,1993_1997,pure,0.7,True,0.6417716022579244,1478.0,1478.0
pure_reference,DBO1,1993_1997,pure,0.75,True,0.6934433347807208,1597.0,1597.0
pure_reference,DBO1,1993_1997,pure,0.8,True,0.7468519322622666,1720.0,1720.0
pure_reference,DBO1,1993_1997,pure,0.85,True,0.8019973947025619,1847.0,1847.0
pure_reference,DBO1,1993_1997,pure,0.9,True,0.860616587060356,1982.0,1982.0
pure_reference,DBO1,1993_1997,pure,0.95,True,0.9231437255753365,2126.0,2126.0
pure_reference,DBO1,2009_2013,pure,0.05,True,0.028658271819366043,66.0,66.0
pure_reference,DBO1,2009_2013,pure,0.1,True,0.060790273556231005,140.0,140.0
pure_reference,DBO1,2009_2013,pure,0.15,True,0.09683022145028224,223.0,223.0
pure_reference,DBO1,2009_2013,pure,0.2,True,0.13547546678245767,312.0,312.0
pure_reference,DBO1,2009_2013,pure,0.25,True,0.17672600955275727,407.0,407.0
pure_reference,DBO1,2009_2013,pure,0.3,True,0.22058184976118106,508.0,508.0
pure_reference,DBO1,2009_2013,pure,0.35,True,0.26660877116804166,614.0,614.0
pure_reference,DBO1,2009_2013,pure,0.4,True,0.31350412505427705,722.0,722.0
pure_reference,DBO1,2009_2013,pure,0.45,True,0.36083369518019975,831.0,831.0
pure_reference,DBO1,2009_2013,pure,0.5,True,0.4085974815458098,941.0,941.0
pure_reference,DBO1,2009_2013,pure,0.55,True,0.45679548415110727,1052.0,1052.0
pure_reference,DBO1,2009_2013,pure,0.6,True,0.5058619192357794,1165.0,1165.0
pure_reference,DBO1,2009_2013,pure,0.65,True,0.5557967867998264,1280.0,1280.0
pure_reference,DBO1,2009_2013,pure,0.7,True,0.6074685193226227,1399.0,1399.0
pure_reference,DBO1,2009_2013,pure,0.75,True,0.6600086843247938,1520.0,1520.0
pure_reference,DBO1,2009_2013,pure,0.8,True,0.7147199305254016,1646.0,1646.0
pure_reference,DBO1,2009_2013,pure,0.85,True,0.7729049066435084,1780.0,1780.0
pure_reference,DBO1,2009_2013,pure,0.9,True,0.8358662613981763,1925.0,1925.0
pure_reference,DBO1,2009_2013,pure,0.95,True,0.9066435084672166,2088.0,2088.0
pure_reference,DBO1,2012_2016,pure,0.05,True,0.04125054277029961,95.0,95.0
pure_reference,DBO1,2012_2016,pure,0.1,True,0.08293530178028659,191.0,191.0
pure_reference,DBO1,2012_2016,pure,0.15,True,0.12592270950933565,290.0,290.0
pure_reference,DBO1,2012_2016,pure,0.2,True,0.16977854971775944,391.0,391.0
pure_reference,DBO1,2012_2016,pure,0.25,True,0.21493703864524533,495.0,495.0
pure_reference,DBO1,2012_2016,pure,0.3,True,0.26052974381241856,600.0,600.0
pure_reference,DBO1,2012_2016,pure,0.35,True,0.30742509769865395,708.0,708.0
pure_reference,DBO1,2012_2016,pure,0.4,True,0.35475466782457665,817.0,817.0
pure_reference,DBO1,2012_2016,pure,0.45,True,0.4029526704298741,928.0,928.0
pure_reference,DBO1,2012_2016,pure,0.5,True,0.4515848892748589,1040.0,1040.0
pure_reference,DBO1,2012_2016,pure,0.55,True,0.5010855405992184,1154.0,1154.0
pure_reference,DBO1,2012_2016,pure,0.6,True,0.5505861919235779,1268.0,1268.0
pure_reference,DBO1,2012_2016,pure,0.65,True,0.6005210594876248,1383.0,1383.0
pure_reference,DBO1,2012_2016,pure,0.7,True,0.6508901432913591,1499.0,1499.0
pure_reference,DBO1,2012_2016,pure,0.75,True,0.7021276595744681,1617.0,1617.0
pure_reference,DBO1,2012_2016,pure,0.8,True,0.7551020408163265,1739.0,1739.0
pure_reference,DBO1,2012_2016,pure,0.85,True,0.8098132870169344,1865.0,1865.0
pure_reference,DBO1,2012_2016,pure,0.9,True,0.8679982631350412,1999.0,1999.0
pure_reference,DBO1,2012_2016,pure,0.95,True,0.9305254016500217,2143.0,2143.0
pure_reference,DBO1,2017_2020,pure,0.05,True,0.03864524533217542,89.0,89.0
