site,window,surface,observed_grid_cells_n,observed_mean,predicted_mean,rmse,mae,bias,r2_cv
DBO1,1993_1997,Polychaeta,30,1.7976666666666667,1.8634034384561855,1.0715195487662823,0.8104214470203611,0.0657367717895184,-0.1220117678688501
DBO1,1993_1997,Bivalvia,30,9.468666666666667,9.750670980818333,5.743058757513904,4.241911904396098,0.2820043141516659,0.126765948009716
DBO1,1993_1997,Sipuncula,30,0.5873333333333334,0.6256579312737727,1.2388708716097334,0.9167695772442992,0.0383245979404393,-0.2815484158933661
DBO1,1993_1997,Total prey (summed),30,11.853666666666667,12.239732350548291,5.6968415010384685,4.307019074433097,0.38606568388162354,0.14413141681256358
DBO1,1996_2000,Polychaeta,37,2.406126126126126,2.4704940390847256,1.2137932579590271,0.8915042815641617,0.0643679129585989,-0.0611016716703904
DBO1,1996_2000,Bivalvia,37,12.685090090090092,12.686323797339307,7.212081671854457,5.165254407932603,0.0012337072492172,0.1317342780573881
DBO1,1996_2000,Sipuncula,37,0.2104054054054054,0.1965514707697226,0.5774233061922545,0.3917486940919824,-0.0138539346356827,-0.5114093459516931
DBO1,1996_2000,Total prey (summed),37,15.30162162162162,15.353369307193757,6.9479135497511155,5.182173444306179,0.05174768557213358,0.10780765085249433
DBO1,1999_2003,Polychaeta,37,2.6020141570141577,2.6141141657799594,1.2503836198788851,1.0191951281789924,0.0121000087658021,-0.2420845566204388
DBO1,1999_2003,Bivalvia,37,12.704214929214931,12.828413076776323,6.335210268871427,4.826028294033435,0.1241981475613956,0.159660933316706
DBO1,1999_2003,Sipuncula,37,0.3061454311454311,0.3065212788146257,0.8241082618337614,0.5306645494337604,0.0003758476691945,-0.2225576959610371
DBO1,1999_2003,Total prey (summed),37,15.612374517374516,15.749048521370911,6.386629780760482,5.069606002172587,0.13667400399639246,0.12718533089337458
DBO1,2002_2006,Polychaeta,29,3.111494252873564,3.1183920568135113,1.25151894444586,0.9926132796887338,0.0068978039399486,0.106247755900198
DBO1,2002_2006,Bivalvia,29,9.903781609195402,10.009293193446204,5.054458960240663,3.7829660839932697,0.1055115842508007,0.1576596808414836
DBO1,2002_2006,Sipuncula,29,0.3507126436781609,0.3653837068730525,0.8502052431505236,0.6164064706352611,0.0146710631948915,-0.258390896041581
DBO1,2002_2006,Total prey (summed),29,13.365988505747127,13.493068957132765,5.437025204834716,4.483163573344262,0.12708045138564092,0.16434092644668774
DBO1,2005_2009,Polychaeta,45,3.61832328042328,3.613619227789236,1.1179400026092752,0.906396953246782,-0.0047040526340444,0.1027279365376434
DBO1,2005_2009,Bivalvia,45,9.155283333333331,9.149056982736344,3.5625407838397307,2.692829627261399,-0.0062263505969889,0.6352678703262046
DBO1,2005_2009,Sipuncula,45,0.1685079365079365,0.1536969358938666,0.4647879760533798,0.2630100122141479,-0.0148110006140699,-0.234838015723247
DBO1,2005_2009,Total prey (summed),45,12.942114550264545,12.916373146419444,3.6934650704384286,2.9549852824930505,-0.025741403845103032,0.5975917015456156
