site,window,taxon,source_station_rows,source_grid_cells,n_predictions,n_failures,rmse,mae,bias,observed_mean,predicted_mean,r2_cv
DBO1,1993_1997,Polychaeta,41,30,30,0,1.0715195487662825,0.8104214470203611,0.06573677178951848,1.7976666666666667,1.8634034384561855,-0.12201176786885015
DBO1,1993_1997,Bivalvia,41,30,30,0,5.743058757513904,4.241911904396098,0.28200431415166594,9.468666666666667,9.750670980818331,0.12676594800971608
DBO1,1993_1997,Sipuncula,41,30,30,0,1.2388708716097334,0.9167695772442992,0.03832459794043933,0.5873333333333334,0.6256579312737727,-0.2815484158933661
DBO1,1996_2000,Polychaeta,54,37,37,0,1.2137932579590271,0.8915042815641617,0.06436791295859896,2.406126126126126,2.4704940390847256,-0.06110167167039049
DBO1,1996_2000,Bivalvia,54,37,37,0,7.212081671854457,5.165254407932603,0.0012337072492172847,12.685090090090092,12.686323797339309,0.13173427805738813
DBO1,1996_2000,Sipuncula,54,37,37,0,0.5774233061922545,0.39174869409198243,-0.013853934635682791,0.21040540540540542,0.19655147076972262,-0.5114093459516931
DBO1,1999_2003,Polychaeta,74,37,37,0,1.2503836198788851,1.0191951281789924,0.012100008765802145,2.6020141570141577,2.6141141657799594,-0.24208455662043882
DBO1,1999_2003,Bivalvia,74,37,37,0,6.335210268871427,4.826028294033435,0.12419814756139566,12.704214929214931,12.828413076776325,0.15966093331670606
DBO1,1999_2003,Sipuncula,74,37,37,0,0.8241082618337614,0.5306645494337604,0.0003758476691945636,0.30614543114543114,0.3065212788146257,-0.22255769596103714
DBO1,2002_2006,Polychaeta,49,29,29,0,1.25151894444586,0.9926132796887338,0.006897803939948605,3.111494252873564,3.1183920568135113,0.10624775590019808
DBO1,2002_2006,Bivalvia,49,29,29,0,5.054458960240663,3.7829660839932693,0.10551158425080072,9.903781609195402,10.009293193446203,0.15765968084148363
DBO1,2002_2006,Sipuncula,49,29,29,0,0.8502052431505236,0.6164064706352611,0.014671063194891587,0.35071264367816096,0.3653837068730525,-0.25839089604158105
DBO1,2005_2009,Polychaeta,94,45,45,0,1.1179400026092752,0.9063969532467819,-0.004704052634044439,3.6183232804232803,3.6136192277892363,0.10272793653764345
DBO1,2005_2009,Bivalvia,94,45,45,0,3.5625407838397307,2.692829627261399,-0.006226350596988923,9.155283333333333,9.149056982736345,0.6352678703262046
DBO1,2005_2009,Sipuncula,94,45,45,0,0.46478797605337985,0.2630100122141479,-0.014811000614069909,0.1685079365079365,0.15369693589386663,-0.23483801572324703
DBO1,2008_2012,Polychaeta,72,42,42,0,1.3859089452766755,1.1000189641337432,-0.00988414285480841,3.726079365079365,3.716195222224557,0.14655090572036011
